"itemid","similar_item"
"185327","185361"
"185335","185339"
"185339","185335"
"185350","217036"
"185351","194134"
"185355","211421"
"185356","214746"
"185357","218875"
"185358","193106"
"185359","212263"
"185360","212608"
"185361","185327"
"185362","205220"
"185367","185368"
"185368","185367"
"185373","211443"
"185480","191558"
"185486","185487"
"185487","185486"
"185499","212637"
"185531","208304"
"185544","209045"
"185548","185630"
"185569","214922"
"185608","215159"
"185609","185643"
"185630","185548"
"185631","190808"
"185633","212175"
"185636","190809"
"185637","204062"
"185638","204162"
"185639","209876"
"185640","185638"
"185643","185609"
"185644","212188"
"185647","190808"
"185651","211737"
"185684","202168"
"185798","211798"
"185799","211798"
"185886","208141"
"185887","194134"
"185960","193700"
"185961","206269"
"186084","220053"
"186100","192377"
"186101","186102"
"186102","186101"
"186103","206268"
"186104","186106"
"186105","186106"
"186106","186107"
"186107","186106"
"186108","209147"
"186179","208507"
"186199","230551"
"186241","212898"
"186243","219202"
"186246","194134"
"186275","186830"
"186281","167267"
"186289","214262"
"186311","223691"
"186314","181833"
"186319","187919"
"186332","203712"
"186372","228493"
"186373","220536"
"186374","223385"
"186484","209396"
"186624","187517"
"186651","212911"
"186688","210089"
"186690","214600"
"186698","185359"
"186700","220270"
"186703","191741"
"186707","209147"
"186708","208088"
"186732","211840"
"186734","214323"
"186740","214704"
"186744","204805"
"186748","186749"
"186749","186748"
"186779","197147"
"186786","195348"
"186789","199654"
"186830","218555"
"186831","207719"
"186893","187919"
"186894","186895"
"186895","187918"
"186942","185356"
"186948","204755"
"186950","212886"
"186953","197175"
"186959","213240"
"186960","197177"
"186963","215437"
"186964","216094"
"187021","213906"
"187038","202213"
"187085","228189"
"187108","201114"
"187117","187915"
"187171","211185"
"187173","183256"
"187182","189618"
"187199","212992"
"187213","192857"
"187239","183255"
"187275","195066"
"187295","201927"
"187303","198802"
"187306","222788"
"187350","188525"
"187411","206909"
"187440","209196"
"187443","206654"
"187453","171485"
"187464","212462"
"187482","221637"
"187494","223827"
"187517","186624"
"187550","205254"
"187554","218165"
"187560","211135"
"187610","212636"
"187614","174465"
"187636","214380"
"187637","209199"
"187638","211820"
"187689","199603"
"187691","193713"
"187713","162496"
"187729","202708"
"187735","203790"
"187788","225732"
"187808","210994"
"187845","208614"
"187853","207050"
"187854","213252"
"187857","214393"
"187875","210233"
"187885","221348"
"187915","187117"
"187918","186895"
"187919","186893"
"187920","207044"
"187922","191729"
"187950","203827"
"187967","223866"
"188093","209162"
"188178","191013"
"188207","206896"
"188294","188365"
"188313","212001"
"188351","202472"
"188356","217011"
"188357","210928"
"188359","189200"
"188360","188380"
"188361","225542"
"188362","194842"
"188363","218098"
"188364","204677"
"188365","188363"
"188366","188368"
"188368","188366"
"188369","200149"
"188380","212024"
"188381","217315"
"188382","213697"
"188383","204092"
"188384","211904"
"188385","215534"
"188509","230740"
"188520","188547"
"188521","216837"
"188522","224036"
"188525","188772"
"188526","218299"
"188540","198030"
"188541","223464"
"188544","194019"
"188545","204478"
"188546","220105"
"188547","214881"
"188671","197249"
"188686","214407"
"188721","222652"
"188723","213240"
"188726","230132"
"188727","205437"
"188770","222972"
"188772","188525"
"188801","192837"
"188827","171946"
"188885","214160"
"188897","214676"
"188898","214684"
"188920","201408"
"188922","211561"
"188963","216829"
"188980","229842"
"188993","227583"
"188998","228287"
"189010","215063"
"189017","220494"
"189019","228169"
"189031","222205"
"189037","219799"
"189038","190120"
"189041","207112"
"189044","228998"
"189046","205087"
"189048","210980"
"189049","182321"
"189062","201165"
"189063","213187"
"189144","189146"
"189145","189146"
"189146","189144"
"189169","189170"
"189170","189169"
"189171","197995"
"189173","209439"
"189175","213151"
"189177","208579"
"189198","212116"
"189199","189200"
"189200","223722"
"189214","221811"
"189218","223452"
"189233","224716"
"189234","201014"
"189243","229766"
"189327","204974"
"189344","204698"
"189457","186748"
"189467","216923"
"189513","197170"
"189546","208976"
"189550","189552"
"189551","213706"
"189552","204196"
"189553","212090"
"189559","229596"
"189572","205254"
"189612","218928"
"189618","187182"
"189620","205768"
"189661","204824"
"189662","210088"
"189721","210462"
"189737","194338"
"189769","206578"
"189884","208595"
"189885","189884"
"189887","208843"
"189989","219940"
"190037","228154"
"190104","209666"
"190105","200145"
"190106","223196"
"190107","199828"
"190108","214335"
"190109","219895"
"190111","220907"
"190113","215553"
"190120","220225"
"190222","204733"
"190223","205439"
"190306","201981"
"190307","212049"
"190387","215105"
"190410","208697"
"190445","201999"
"190478","206095"
"190479","231944"
"190491","218928"
"190492","214351"
"190493","204980"
"190502","205279"
"190503","204199"
"190510","221648"
"190512","206052"
"190513","202114"
"190548","211594"
"190625","225542"
"190626","206098"
"190629","191929"
"190644","209863"
"190670","214367"
"190671","220268"
"190672","215025"
"190714","225667"
"190715","224393"
"190717","223291"
"190729","208747"
"190741","190743"
"190742","195904"
"190743","195904"
"190744","195602"
"190758","232484"
"190763","185186"
"190768","209173"
"190771","191061"
"190778","231945"
"190790","218933"
"190791","190793"
"190793","190791"
"190796","190797"
"190797","215189"
"190798","208306"
"190799","214068"
"190801","203112"
"190808","185647"
"190809","185644"
"190811","190222"
"190812","208270"
"190831","221366"
"190832","219091"
"190841","209396"
"190862","211924"
"190866","204057"
"190912","190913"
"190913","190912"
"190924","201177"
"190928","201177"
"190941","214324"
"190944","219196"
"190946","220356"
"190947","210985"
"190948","208595"
"190949","204478"
"190960","190962"
"190961","229932"
"190962","190960"
"190963","225004"
"190964","206727"
"190965","212956"
"190966","208595"
"190967","194295"
"190968","195118"
"190969","194799"
"190970","218347"
"190971","206033"
"190972","211818"
"190973","205212"
"190975","219377"
"190976","196633"
"190977","226947"
"190978","227958"
"190979","218870"
"190980","191821"
"190982","208712"
"190987","198614"
"191012","193004"
"191013","222084"
"191014","218440"
"191015","193319"
"191017","182058"
"191060","232408"
"191061","190771"
"191062","216119"
"191063","190629"
"191064","224330"
"191065","204038"
"191067","216053"
"191090","218349"
"191091","199075"
"191121","215366"
"191123","228529"
"191155","205498"
"191156","205945"
"191170","220108"
"191171","207939"
"191172","211822"
"191173","211421"
"191175","202967"
"191191","229363"
"191192","196580"
"191193","185358"
"191432","199000"
"191558","223225"
"191566","223244"
"191612","228610"
"191657","219799"
"191729","187922"
"191733","204785"
"191741","208088"
"191742","208088"
"191799","205212"
"191802","191833"
"191806","232613"
"191813","221363"
"191814","191815"
"191815","191814"
"191820","232175"
"191821","190980"
"191827","204449"
"191830","207934"
"191831","192361"
"191832","204698"
"191833","191835"
"191834","191833"
"191835","191833"
"191920","212212"
"191924","191927"
"191925","212966"
"191926","213756"
"191927","199869"
"191928","205278"
"191929","205279"
"191930","209932"
"191931","232489"
"192009","215047"
"192091","209925"
"192112","192115"
"192113","199842"
"192115","192112"
"192132","192134"
"192134","192132"
"192136","214834"
"192160","225134"
"192163","199930"
"192176","219590"
"192194","196205"
"192197","196770"
"192201","218840"
"192298","207988"
"192307","192436"
"192309","215697"
"192319","212262"
"192330","220358"
"192331","216198"
"192360","192363"
"192361","211932"
"192362","214948"
"192363","192360"
"192364","199338"
"192366","168987"
"192367","205212"
"192372","192373"
"192373","192372"
"192374","192372"
"192377","186100"
"192378","194843"
"192382","190791"
"192423","225578"
"192425","198901"
"192426","192427"
"192427","192426"
"192428","231945"
"192429","218607"
"192430","214579"
"192431","192423"
"192432","224278"
"192433","201397"
"192434","219873"
"192436","192307"
"192509","192510"
"192510","192509"
"192511","192512"
"192512","192509"
"192516","205653"
"192517","211192"
"192587","195923"
"192589","210888"
"192608","206648"
"192617","231857"
"192657","216245"
"192708","193855"
"192738","202084"
"192739","218349"
"192742","209325"
"192768","206098"
"192769","213170"
"192770","206194"
"192774","220530"
"192812","192817"
"192813","192814"
"192814","192817"
"192815","192819"
"192816","203532"
"192817","192814"
"192818","192815"
"192819","192815"
"192820","192819"
"192821","225612"
"192822","213774"
"192823","213656"
"192825","214136"
"192826","203532"
"192827","199372"
"192828","197097"
"192829","223383"
"192830","200414"
"192831","215575"
"192837","188801"
"192840","220487"
"192851","204138"
"192854","220545"
"192857","187213"
"192985","208297"
"193003","182680"
"193004","191012"
"193006","216851"
"193007","191566"
"193037","208297"
"193055","193056"
"193056","193055"
"193106","222738"
"193187","214564"
"193194","193195"
"193195","193194"
"193196","218872"
"193199","190970"
"193200","199807"
"193201","201528"
"193202","210091"
"193216","209720"
"193237","185186"
"193308","232423"
"193310","220883"
"193317","211193"
"193319","205072"
"193327","221083"
"193329","193360"
"193360","193329"
"193365","204351"
"193387","203689"
"193433","204417"
"193491","181472"
"193495","214506"
"193530","216715"
"193542","192742"
"193543","202670"
"193545","232165"
"193546","200261"
"193575","204201"
"193580","193581"
"193581","193580"
"193630","197154"
"193646","211789"
"193649","210898"
"193654","219966"
"193655","199104"
"193656","198422"
"193657","208088"
"193660","211055"
"193663","204185"
"193678","221153"
"193686","211124"
"193687","193691"
"193688","193693"
"193689","204550"
"193690","207364"
"193691","197068"
"193693","204551"
"193697","195331"
"193700","201219"
"193704","210397"
"193713","187691"
"193771","205957"
"193776","204401"
"193783","217066"
"193794","218100"
"193837","220487"
"193838","206598"
"193839","218607"
"193840","193839"
"193842","214404"
"193844","198398"
"193845","223518"
"193854","186314"
"193855","193854"
"193856","181833"
"193874","222807"
"193912","205498"
"193914","203145"
"193919","223041"
"193923","209088"
"193932","215695"
"193935","206678"
"193991","207696"
"193992","211788"
"193994","216458"
"194000","209952"
"194016","201868"
"194017","215531"
"194018","225555"
"194019","203546"
"194020","212812"
"194043","220007"
"194049","226754"
"194056","205296"
"194060","194061"
"194061","194060"
"194067","215665"
"194097","214617"
"194099","197147"
"194121","204310"
"194125","227517"
"194134","199852"
"194163","211138"
"194173","190510"
"194188","198116"
"194194","207479"
"194196","217431"
"194198","198459"
"194208","194209"
"194209","194208"
"194212","205668"
"194257","211044"
"194295","194297"
"194297","194295"
"194315","209019"
"194318","197147"
"194325","219459"
"194326","221008"
"194327","200285"
"194328","204634"
"194329","221442"
"194330","212181"
"194332","217164"
"194333","214310"
"194335","209603"
"194336","206586"
"194338","189737"
"194356","207356"
"194357","212116"
"194363","214947"
"194364","204633"
"194365","203323"
"194367","201369"
"194414","194415"
"194415","194414"
"194416","217127"
"194424","217455"
"194452","184111"
"194518","202307"
"194526","215234"
"194570","194573"
"194571","214988"
"194573","194574"
"194574","194573"
"194600","214501"
"194610","217807"
"194616","204698"
"194634","225790"
"194636","227071"
"194652","201015"
"194750","204376"
"194777","211044"
"194797","225843"
"194799","224081"
"194838","200122"
"194840","211407"
"194841","205104"
"194842","214581"
"194843","192378"
"194845","222078"
"194846","220697"
"194847","221122"
"194849","219372"
"194850","205212"
"194851","222756"
"194853","194854"
"194854","194853"
"194856","202708"
"194868","219347"
"194869","213688"
"194895","204798"
"194897","194920"
"194898","202546"
"194899","213684"
"194913","208297"
"194917","209147"
"194919","202824"
"194920","218901"
"194921","224846"
"194922","195348"
"194923","194924"
"194924","194923"
"194925","215132"
"194926","228136"
"194940","199825"
"194941","213479"
"194942","204270"
"194944","215143"
"194945","200129"
"194955","220356"
"194959","205105"
"194960","192377"
"194961","214160"
"194962","194961"
"194967","218349"
"194970","190222"
"195031","229421"
"195056","219841"
"195058","191920"
"195059","212992"
"195063","162955"
"195066","197142"
"195077","220571"
"195092","195095"
"195093","213665"
"195094","202545"
"195095","195092"
"195118","210473"
"195120","210468"
"195131","208538"
"195133","218620"
"195134","198419"
"195135","207551"
"195136","195134"
"195139","194868"
"195145","198901"
"195191","202741"
"195192","202741"
"195193","202741"
"195195","202741"
"195196","202741"
"195207","180441"
"195236","203328"
"195242","213225"
"195243","194600"
"195264","201808"
"195265","230254"
"195279","200711"
"195280","206682"
"195281","200866"
"195282","224184"
"195331","193697"
"195348","205068"
"195374","210448"
"195385","213683"
"195387","194357"
"195397","190797"
"195398","210482"
"195400","209034"
"195401","214117"
"195402","226836"
"195403","212959"
"195404","212596"
"195423","211516"
"195434","185886"
"195435","199620"
"195442","223830"
"195445","195446"
"195446","195445"
"195448","202778"
"195451","160450"
"195474","196239"
"195475","207363"
"195476","211410"
"195496","209325"
"195511","217603"
"195523","211031"
"195531","201512"
"195534","210854"
"195541","212116"
"195602","190744"
"195626","180059"
"195666","216253"
"195729","205483"
"195736","213823"
"195743","208033"
"195744","200471"
"195750","212202"
"195752","212840"
"195756","224119"
"195758","223420"
"195763","202278"
"195770","195771"
"195771","195770"
"195772","222196"
"195773","205485"
"195783","195118"
"195784","203287"
"195790","224443"
"195795","209138"
"195805","196531"
"195806","196532"
"195809","201806"
"195817","205282"
"195818","205668"
"195819","195840"
"195820","217970"
"195821","222068"
"195840","195819"
"195841","202645"
"195842","205483"
"195843","195840"
"195847","195848"
"195848","195849"
"195849","195848"
"195852","208461"
"195853","216280"
"195873","212620"
"195899","219168"
"195904","190744"
"195914","195923"
"195923","195914"
"195952","212132"
"195955","194067"
"196009","214962"
"196019","203420"
"196036","231948"
"196045","222758"
"196063","203340"
"196088","209311"
"196106","212539"
"196110","208817"
"196129","212101"
"196148","192742"
"196151","208478"
"196162","220485"
"196169","224152"
"196178","213147"
"196205","190387"
"196210","197224"
"196215","213671"
"196216","214459"
"196222","228459"
"196223","196222"
"196225","212445"
"196236","212049"
"196238","212645"
"196239","215299"
"196349","220413"
"196351","223489"
"196353","232312"
"196357","212233"
"196359","199106"
"196370","214630"
"196372","215459"
"196374","218271"
"196425","226408"
"196438","204981"
"196439","223437"
"196440","217592"
"196442","218200"
"196446","201252"
"196447","215944"
"196448","194899"
"196449","196446"
"196456","197378"
"196463","212267"
"196464","205918"
"196465","205217"
"196478","211044"
"196481","213224"
"196487","230552"
"196514","200737"
"196515","222202"
"196531","195805"
"196532","195806"
"196537","209227"
"196563","220593"
"196569","197995"
"196574","196575"
"196575","196574"
"196580","196583"
"196582","222304"
"196583","196580"
"196588","214386"
"196591","215837"
"196593","208695"
"196595","224467"
"196601","192828"
"196602","218252"
"196603","199180"
"196605","215650"
"196620","212055"
"196630","196631"
"196631","213479"
"196632","196633"
"196633","197759"
"196647","207117"
"196770","192197"
"196771","196770"
"196828","196829"
"196829","207981"
"196844","207050"
"196845","221725"
"196861","188364"
"196862","205297"
"196863","204335"
"196864","208407"
"196873","197356"
"196874","218137"
"196885","198680"
"196896","203662"
"196899","212588"
"196903","209822"
"196909","214709"
"196919","214708"
"196920","214703"
"196930","214704"
"196949","191920"
"196958","181273"
"196960","212389"
"197047","202162"
"197048","221733"
"197064","191926"
"197065","212175"
"197068","204552"
"197073","226947"
"197074","217092"
"197075","211673"
"197078","222089"
"197079","202101"
"197080","215811"
"197081","213742"
"197096","203533"
"197097","192828"
"197102","217641"
"197103","222784"
"197104","197120"
"197106","200946"
"197107","205898"
"197108","224669"
"197109","232275"
"197114","210912"
"197120","214600"
"197121","230676"
"197125","214405"
"197126","210966"
"197142","226657"
"197144","206694"
"197147","223240"
"197150","211146"
"197153","212003"
"197154","227279"
"197160","195348"
"197170","221406"
"197171","228994"
"197175","186953"
"197177","186960"
"197178","204698"
"197196","222285"
"197224","196210"
"197248","197518"
"197249","188671"
"197254","197255"
"197255","216559"
"197256","219792"
"197258","219793"
"197280","204980"
"197310","174273"
"197342","207526"
"197345","218233"
"197346","197347"
"197347","230681"
"197348","197347"
"197350","219084"
"197351","196439"
"197352","204676"
"197355","227854"
"197356","213536"
"197357","223793"
"197367","205019"
"197368","200155"
"197373","202545"
"197374","206034"
"197375","218687"
"197378","204305"
"197379","216540"
"197383","205831"
"197384","227070"
"197390","195534"
"197395","224971"
"197402","206823"
"197405","219729"
"197411","231944"
"197436","223867"
"197439","214677"
"197441","205083"
"197443","218349"
"197451","214160"
"197452","217094"
"197462","197153"
"197463","204755"
"197464","197463"
"197465","212667"
"197466","229593"
"197480","216907"
"197493","183289"
"197508","201320"
"197509","202654"
"197515","203496"
"197518","211200"
"197533","201136"
"197539","186314"
"197544","213707"
"197566","219895"
"197576","197147"
"197577","201369"
"197578","207669"
"197588","204167"
"197626","221143"
"197628","211671"
"197630","209603"
"197652","227475"
"197664","201825"
"197667","207921"
"197668","197356"
"197669","205817"
"197696","198031"
"197697","227258"
"197698","217660"
"197714","205082"
"197715","190758"
"197716","225732"
"197758","216510"
"197759","196633"
"197762","216147"
"197767","199648"
"197768","199179"
"197769","197770"
"197770","197769"
"197781","220901"
"197782","215665"
"197783","219124"
"197833","223473"
"197834","219379"
"197835","207588"
"197837","221024"
"197838","217730"
"197839","218038"
"197850","230608"
"197851","213763"
"197862","186246"
"197871","197147"
"197872","199850"
"197873","214109"
"197875","207619"
"197912","224403"
"197961","218727"
"197972","216833"
"197995","220504"
"198029","185609"
"198030","225978"
"198031","197696"
"198050","211014"
"198052","198054"
"198054","198052"
"198055","217903"
"198058","214793"
"198059","204130"
"198060","215149"
"198062","190510"
"198063","205814"
"198064","198063"
"198076","219506"
"198098","209292"
"198116","208815"
"198118","197630"
"198119","207713"
"198120","211495"
"198121","213782"
"198122","205210"
"198123","208869"
"198129","199640"
"198140","193657"
"198141","198140"
"198223","214501"
"198252","198997"
"198253","198998"
"198294","197142"
"198295","222872"
"198308","217557"
"198309","223333"
"198331","215549"
"198377","208507"
"198384","212264"
"198395","219606"
"198397","214726"
"198398","209870"
"198404","218801"
"198405","218273"
"198406","229081"
"198407","202159"
"198412","198422"
"198413","214672"
"198414","198461"
"198415","223551"
"198416","222279"
"198417","204566"
"198419","195134"
"198422","227856"
"198423","224236"
"198424","210231"
"198425","207771"
"198459","194198"
"198461","198414"
"198478","194356"
"198527","212550"
"198528","224452"
"198529","205313"
"198546","232554"
"198547","202095"
"198566","209227"
"198575","228913"
"198579","215665"
"198585","229344"
"198594","201391"
"198595","199230"
"198604","198605"
"198605","198604"
"198606","199289"
"198607","204416"
"198608","212806"
"198611","209402"
"198613","210095"
"198614","210966"
"198615","221496"
"198628","216278"
"198636","228760"
"198637","220905"
"198638","209603"
"198639","216249"
"198640","191835"
"198641","185327"
"198642","214418"
"198643","214324"
"198645","214604"
"198646","213249"
"198671","207743"
"198673","219335"
"198680","212715"
"198687","209656"
"198693","226924"
"198698","214660"
"198701","201824"
"198707","205767"
"198712","202478"
"198767","207939"
"198768","198772"
"198769","198770"
"198770","218657"
"198771","206010"
"198772","209817"
"198773","205277"
"198774","204665"
"198780","201999"
"198781","214376"
"198796","221240"
"198798","205878"
"198799","219792"
"198800","219793"
"198801","213487"
"198802","205555"
"198803","191928"
"198828","210009"
"198841","204741"
"198842","203940"
"198843","206099"
"198849","223154"
"198856","223920"
"198861","202278"
"198866","217514"
"198873","203324"
"198874","226957"
"198875","212666"
"198877","210086"
"198881","212904"
"198886","231945"
"198887","214592"
"198888","192367"
"198889","218254"
"198897","225508"
"198898","212126"
"198899","211622"
"198900","211157"
"198901","205769"
"198915","198916"
"198916","198915"
"198920","205473"
"198930","201449"
"198932","213337"
"198936","200941"
"198937","186830"
"198938","203703"
"198952","220193"
"198961","198962"
"198962","198961"
"198969","198693"
"198971","215411"
"198997","198252"
"198998","198253"
"199000","218811"
"199001","209578"
"199008","214048"
"199009","222089"
"199010","207042"
"199011","200130"
"199013","218594"
"199014","216075"
"199016","225749"
"199017","214947"
"199018","205795"
"199031","196359"
"199059","200130"
"199060","200543"
"199075","206101"
"199078","212120"
"199083","205325"
"199085","208086"
"199086","220509"
"199089","215791"
"199104","200564"
"199106","196359"
"199126","207100"
"199129","204493"
"199130","203482"
"199131","213494"
"199135","222289"
"199177","220997"
"199179","217722"
"199180","228154"
"199181","216284"
"199182","209530"
"199185","203448"
"199187","214763"
"199188","221626"
"199217","200643"
"199218","212800"
"199230","212434"
"199231","201260"
"199235","200235"
"199236","214687"
"199237","205212"
"199242","207062"
"199264","225513"
"199265","200420"
"199270","204114"
"199289","198606"
"199292","212281"
"199293","219956"
"199299","207486"
"199302","209722"
"199319","204785"
"199320","199893"
"199321","199322"
"199322","199321"
"199323","214581"
"199324","199553"
"199328","197080"
"199329","215638"
"199331","213845"
"199335","194945"
"199336","189737"
"199338","192364"
"199339","195400"
"199342","199347"
"199347","199342"
"199354","200737"
"199355","219156"
"199358","222582"
"199359","215296"
"199371","212656"
"199372","214598"
"199373","206598"
"199380","202040"
"199381","199391"
"199383","196463"
"199384","220456"
"199385","196036"
"199386","225729"
"199387","209650"
"199389","220357"
"199390","209642"
"199391","202801"
"199392","209641"
"199393","202260"
"199416","161404"
"199421","199422"
"199422","199421"
"199423","205484"
"199426","199427"
"199427","199426"
"199435","201242"
"199436","212240"
"199444","204020"
"199468","201956"
"199478","203572"
"199489","208742"
"199495","212601"
"199516","199517"
"199517","199516"
"199518","190037"
"199519","227880"
"199522","212805"
"199540","216639"
"199550","218588"
"199551","204673"
"199552","227651"
"199553","206552"
"199558","207339"
"199572","220136"
"199603","226754"
"199619","212049"
"199620","199619"
"199622","202505"
"199624","208292"
"199629","200715"
"199630","203285"
"199637","209985"
"199639","207455"
"199640","198129"
"199641","202437"
"199643","208935"
"199648","211985"
"199652","219092"
"199654","222484"
"199655","220532"
"199656","210254"
"199657","205212"
"199658","204566"
"199659","224716"
"199660","209603"
"199661","226846"
"199662","204755"
"199663","208677"
"199665","199660"
"199674","212269"
"199679","213894"
"199722","215161"
"199725","201411"
"199730","210371"
"199737","212494"
"199740","209209"
"199743","208273"
"199744","199743"
"199746","199748"
"199747","208273"
"199748","199743"
"199749","215683"
"199758","202081"
"199763","214257"
"199764","209608"
"199765","230132"
"199766","214746"
"199767","201055"
"199768","222585"
"199774","210925"
"199776","221210"
"199777","187919"
"199791","204178"
"199805","206534"
"199807","227056"
"199809","216182"
"199812","207345"
"199813","198877"
"199814","213949"
"199815","214377"
"199816","212620"
"199817","202533"
"199818","214176"
"199821","190714"
"199824","206551"
"199825","200156"
"199828","199829"
"199829","199828"
"199831","216070"
"199837","203285"
"199839","214600"
"199842","198031"
"199843","209415"
"199844","195451"
"199846","217027"
"199850","216438"
"199851","222924"
"199852","194134"
"199853","210468"
"199854","232055"
"199864","203207"
"199865","199866"
"199866","209813"
"199867","199321"
"199868","197147"
"199869","191927"
"199870","199871"
"199871","206551"
"199874","208825"
"199884","216653"
"199885","213806"
"199888","199892"
"199889","199895"
"199890","199892"
"199891","199892"
"199892","199891"
"199893","199889"
"199894","214148"
"199895","199889"
"199917","205115"
"199918","207050"
"199926","199930"
"199930","199926"
"199950","193200"
"199952","195400"
"199953","220183"
"199955","207982"
"199964","216984"
"199988","224758"
"199997","229857"
"200010","203150"
"200012","220142"
"200017","201369"
"200032","200221"
"200044","196930"
"200061","202421"
"200062","186243"
"200066","190944"
"200078","199321"
"200079","200090"
"200081","214636"
"200086","202980"
"200089","222424"
"200090","200079"
"200091","200972"
"200093","200094"
"200094","224457"
"200095","208702"
"200101","211229"
"200103","226025"
"200104","211634"
"200120","204737"
"200121","200136"
"200122","204755"
"200124","189737"
"200127","213750"
"200128","215766"
"200129","194945"
"200130","213519"
"200134","194134"
"200136","200121"
"200139","216647"
"200145","203288"
"200147","223759"
"200149","221006"
"200150","216197"
"200151","210514"
"200152","200149"
"200154","210498"
"200155","209099"
"200156","206191"
"200157","212968"
"200158","209209"
"200160","230623"
"200184","213199"
"200199","207151"
"200206","196593"
"200207","200208"
"200208","204673"
"200209","205789"
"200218","209335"
"200219","208712"
"200221","200032"
"200222","222441"
"200230","229518"
"200231","200232"
"200232","211876"
"200235","199235"
"200236","224074"
"200237","221626"
"200240","226718"
"200241","220788"
"200245","223420"
"200247","202942"
"200261","211070"
"200267","199648"
"200269","200261"
"200281","216980"
"200282","208258"
"200283","207808"
"200284","209724"
"200285","231945"
"200334","216846"
"200372","224806"
"200378","195451"
"200391","209396"
"200398","201990"
"200405","210906"
"200412","218787"
"200414","216185"
"200420","201845"
"200431","227864"
"200433","204673"
"200434","195348"
"200435","215952"
"200436","210056"
"200471","200414"
"200479","221404"
"200481","218022"
"200486","226921"
"200502","197375"
"200504","194868"
"200506","202546"
"200507","209574"
"200508","213006"
"200509","219477"
"200514","223429"
"200520","216672"
"200521","198030"
"200526","206710"
"200542","200551"
"200543","217243"
"200544","226947"
"200545","201799"
"200546","200550"
"200547","212387"
"200548","207415"
"200550","200546"
"200551","210462"
"200564","199104"
"200567","185204"
"200581","211337"
"200585","202146"
"200586","202146"
"200597","213792"
"200602","198938"
"200615","221465"
"200625","212938"
"200634","218414"
